Country,Region 2015,Region 2016,Region 2017,Region 2018,Region 2019,Happiness Rank 2015,Happiness Rank 2016,Happiness Rank 2017,Happiness Rank 2018,Happiness Rank 2019,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017,Happiness Score 2018,Happiness Score 2019,Standard Error 2015,Standard Error 2016,Standard Error 2017,Standard Error 2018,Standard Error 2019,Economy (GDP per Capita) 2015,Economy (GDP per Capita) 2016,Economy (GDP per Capita) 2017,Economy (GDP per Capita) 2018,Economy (GDP per Capita) 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Health (Life Expectancy) 2015,Health (Life Expectancy) 2016,Health (Life Expectancy) 2017,Health (Life Expectancy) 2018,Health (Life Expectancy) 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust (Government Corruption) 2015,Trust (Government Corruption) 2016,Trust (Government Corruption) 2017,Trust (Government Corruption) 2018,Trust (Government Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Dystopia Residual 2015,Dystopia Residual 2016,Dystopia Residual 2017,Dystopia Residual 2018,Dystopia Residual 2019,Lower Confidence Interval 2015,Lower Confidence Interval 2016,Lower Confidence Interval 2017,Lower Confidence Interval 2018,Lower Confidence Interval 2019,Upper Confidence Interval 2015,Upper Confidence Interval 2016,Upper Confidence Interval 2017,Upper Confidence Interval 2018,Upper Confidence Interval 2019,Happiness.Rank 2015,Happiness.Rank 2016,Happiness.Rank 2017,Happiness.Rank 2018,Happiness.Rank 2019,Happiness.Score 2015,Happiness.Score 2016,Happiness.Score 2017,Happiness.Score 2018,Happiness.Score 2019,Whisker.high 2015,Whisker.high 2016,Whisker.high 2017,Whisker.high 2018,Whisker.high 2019,Whisker.low 2015,Whisker.low 2016,Whisker.low 2017,Whisker.low 2018,Whisker.low 2019,Economy..GDP.per.Capita. 2015,Economy..GDP.per.Capita. 2016,Economy..GDP.per.Capita. 2017,Economy..GDP.per.Capita. 2018,Economy..GDP.per.Capita. 2019,Health..Life.Expectancy. 2015,Health..Life.Expectancy. 2016,Health..Life.Expectancy. 2017,Health..Life.Expectancy. 2018,Health..Life.Expectancy. 2019,Trust..Government.Corruption. 2015,Trust..Government.Corruption. 2016,Trust..Government.Corruption. 2017,Trust..Government.Corruption. 2018,Trust..Government.Corruption. 2019,Dystopia.Residual 2015,Dystopia.Residual 2016,Dystopia.Residual 2017,Dystopia.Residual 2018,Dystopia.Residual 2019,Overall rank 2015,Overall rank 2016,Overall rank 2017,Overall rank 2018,Overall rank 2019,Score 2015,Score 2016,Score 2017,Score 2018,Score 2019,GDP per capita 2015,GDP per capita 2016,GDP per capita 2017,GDP per capita 2018,GDP per capita 2019,Social support 2015,Social support 2016,Social support 2017,Social support 2018,Social support 2019,Healthy life expectancy 2015,Healthy life expectancy 2016,Healthy life expectancy 2017,Healthy life expectancy 2018,Healthy life expectancy 2019,Freedom to make life choices 2015,Freedom to make life choices 2016,Freedom to make life choices 2017,Freedom to make life choices 2018,Freedom to make life choices 2019,Perceptions of corruption 2015,Perceptions of corruption 2016,Perceptions of corruption 2017,Perceptions of corruption 2018,Perceptions of corruption 2019
Central African Republic,Sub-Saharan Africa,,,,,148.0,,,,,3.678,,,,,0.06112,,,,,0.0785,,,,,0.0,,0.0,,,0.06699,,,,,0.48879,,0.270842045545578,,,0.08289,,,,,0.23835,,0.280876487493515,0.218,0.235,2.7223,,,,,,,,,,,,,,,,,155.0,,,,,2.69300007820129,,,,,2.86488426923752,,,,,2.52111588716507,,,,,0.0,,,,,0.0187726859003305,,,,,0.0565650761127472,,,,,2.06600475311279,,,,,,155.0,155.0,,,,3.083,3.083,,,,0.024,0.026,,,,0.0,0.0,,,,0.01,0.105,,,,0.305,0.225,,,,0.038,0.035
Chad,Sub-Saharan Africa,Sub-Saharan Africa,,,,149.0,144.0,,,,3.667,3.763,,,,0.0383,,,,,0.34193,0.42214,,,,0.76062,0.63178,0.953855872154236,,,0.1501,0.03824,,,,0.23501,0.12807,0.16234202682972,,,0.05269,0.04952,,,,0.18386,0.18667,0.216113850474358,0.181,0.198,1.94296,2.30637,,,,,3.672,,,,,3.854,,,,,,137.0,,,,,3.93600010871887,,,,,4.0347115239501,,,,,3.83728869348764,,,,,0.438012987375259,,,,,0.0411347150802612,,,,,0.0535818822681904,,,,,2.07123804092407,,,,,,131.0,132.0,,,,4.301,4.35,,,,0.358,0.35,,,,0.907,0.766,,,,0.053,0.192,,,,0.189,0.174,,,,0.06,0.078
Chile,Latin America and Caribbean,Latin America and Caribbean,,,,27.0,24.0,,,,6.67,6.705,,,,0.058,,,,,1.10715,1.2167,,,,1.12447,0.90587,1.28402495384216,,,0.85857,0.81883,,,,0.44132,0.37789,0.376895278692245,,,0.12869,0.11451,,,,0.33363,0.31595,0.326662421226501,0.197,0.187,2.67585,2.95505,,,,,6.615,,,,,6.795,,,,,,20.0,,,,,6.65199995040894,,,,,6.73925056010485,,,,,6.56474934071302,,,,,1.25278460979462,,,,,0.819479703903198,,,,,0.0822879821062088,,,,,2.50958585739136,,,,,,25.0,26.0,,,,6.476,6.444,,,,1.131,1.159,,,,1.331,1.369,,,,0.808,0.92,,,,0.431,0.357,,,,0.061,0.056
China,Eastern Asia,Eastern Asia,,,,84.0,83.0,,,,5.14,5.245,,,,0.02424,,,,,0.89012,1.0278,,,,0.94675,0.79381,1.16083741188049,,,0.81658,0.73561,,,,0.51697,0.44012,0.472787708044052,,,0.02781,0.02745,,,,0.08185,0.04959,0.0288068410009146,0.029,0.058,1.8604,2.17087,,,,,5.199,,,,,5.291,,,,,,79.0,,,,,5.27299976348877,,,,,5.31927808977663,,,,,5.2267214372009,,,,,1.08116579055786,,,,,0.741415500640869,,,,,0.0227942746132612,,,,,1.76493859291077,,,,,,86.0,93.0,,,,5.246,5.191,,,,0.989,1.029,,,,1.142,1.125,,,,0.799,0.893,,,,0.597,0.521,,,,0.103,0.1
Colombia,Latin America and Caribbean,Latin America and Caribbean,,,,33.0,31.0,,,,6.477,6.481,,,,0.05051,,,,,0.91861,1.03032,,,,1.24018,1.02169,1.4021829366684,,,0.69077,0.59659,,,,0.53466,0.44735,0.477487415075302,,,0.0512,0.05399,,,,0.18401,0.15626,0.149014472961426,0.099,0.099,2.85737,3.17471,,,,,6.384,,,,,6.578,,,,,,36.0,,,,,6.35699987411499,,,,,6.45202005416155,,,,,6.26197969406843,,,,,1.07062232494354,,,,,0.595027923583984,,,,,0.0466687418520451,,,,,2.61606812477112,,,,,,37.0,43.0,,,,6.26,6.125,,,,0.96,0.985,,,,1.439,1.41,,,,0.635,0.841,,,,0.531,0.47,,,,0.039,0.034
Comoros,Sub-Saharan Africa,Sub-Saharan Africa,,,,140.0,138.0,,,,3.956,3.956,,,,0.04797,,,,,0.23906,0.27509,,,,0.79273,0.60323,,,,0.36315,0.29981,,,,0.22917,0.15412,,,,0.199,0.18437,,,,0.17441,0.1827,,,0.275,1.95812,2.25632,,,,,3.86,,,,,4.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,,,,,3.973,,,,,0.274,,,,,0.757,,,,,0.505,,,,,0.142,,,,,0.078
Congo (Brazzaville),Sub-Saharan Africa,Sub-Saharan Africa,,,,139.0,127.0,,,,3.989,4.236,,,,0.06682,,,,,0.67866,0.77109,,,,0.6629,0.47799,0.832044363021851,,,0.31051,0.28212,,,,0.41466,0.37938,0.435025870800018,,,0.11686,0.09753,,,,0.12388,0.12077,0.120852127671242,0.091,0.105,1.68135,2.10681,,,,,4.107,,,,,4.365,,,,,,124.0,,,,,4.29099988937378,,,,,4.41005350500345,,,,,4.17194627374411,,,,,0.808964252471924,,,,,0.28995743393898,,,,,0.0796181336045265,,,,,1.72413563728333,,,,,,114.0,103.0,,,,4.559,4.812,,,,0.682,0.673,,,,0.811,0.799,,,,0.343,0.508,,,,0.514,0.372,,,,0.077,0.093
Congo (Kinshasa),Sub-Saharan Africa,Sub-Saharan Africa,,,,120.0,125.0,,,,4.517,4.272,,,,0.0368,,,,,0.0,0.05661,,,,1.0012,0.80676,1.22902345657349,,,0.09806,0.188,,,,0.22605,0.15602,0.235961347818375,,,0.07625,0.06075,,,,0.24834,0.25458,0.246455833315849,0.197,0.212,2.86712,2.74924,,,,,4.191,,,,,4.353,,,,,,126.0,,,,,4.28000020980835,,,,,4.35781083270907,,,,,4.20218958690763,,,,,0.0921023488044739,,,,,0.191407024860382,,,,,0.0602413564920425,,,,,2.22495865821838,,,,,,132.0,127.0,,,,4.245,4.418,,,,0.069,0.094,,,,1.136,1.125,,,,0.204,0.357,,,,0.312,0.269,,,,0.052,0.053
Costa Rica,Latin America and Caribbean,Latin America and Caribbean,,,,12.0,14.0,,,,7.226,7.087,,,,0.04454,,,,,0.95578,1.06879,,,,1.23788,1.02152,1.41640365123749,,,0.86027,0.76146,,,,0.63376,0.55225,0.580131649971008,,,0.10583,0.10547,,,,0.25497,0.22553,0.214613229036331,0.143,0.144,3.17728,3.35168,,,,,6.999,,,,,7.175,,,,,,12.0,,,,,7.0789999961853,,,,,7.16811166629195,,,,,6.98988832607865,,,,,1.10970628261566,,,,,0.759509265422821,,,,,0.100106589496136,,,,,2.89863920211792,,,,,,13.0,12.0,,,,7.072,7.167,,,,1.01,1.034,,,,1.459,1.441,,,,0.817,0.963,,,,0.632,0.558,,,,0.101,0.093
Croatia,Central and Eastern Europe,Central and Eastern Europe,,,,62.0,74.0,,,,5.759,5.488,,,,0.04394,,,,,1.08254,1.18649,,,,0.79624,0.60809,0.96798300743103,,,0.78805,0.70524,,,,0.25883,0.23907,0.255772292613983,,,0.0243,0.04002,,,,0.05444,0.18434,0.248002976179123,0.12,0.119,2.75414,2.52462,,,,,5.402,,,,,5.574,,,,,,77.0,,,,,5.29300022125244,,,,,5.39177720457315,,,,,5.19422323793173,,,,,1.22255623340607,,,,,0.701288521289825,,,,,0.0431031100451946,,,,,1.85449242591858,,,,,,82.0,75.0,,,,5.321,5.432,,,,1.115,1.155,,,,1.161,1.266,,,,0.737,0.914,,,,0.38,0.296,,,,0.039,0.022
Cyprus,Western Europe,Western Europe,,,,67.0,69.0,,,,5.689,5.546,,,,0.0558,,,,,1.20813,1.31857,,,,0.89318,0.70697,1.13136327266693,,,0.92356,0.8488,,,,0.40672,0.29507,0.355111539363861,,,0.06146,0.05228,,,,0.30638,0.27906,0.271254301071167,0.202,0.19,1.88931,2.04497,,,,,5.442,,,,,5.65,,,,,,65.0,,,,,5.62099981307983,,,,,5.71469269931316,,,,,5.5273069268465,,,,,1.35593807697296,,,,,0.84471470117569,,,,,0.0412379764020443,,,,,1.62124919891357,,,,,,61.0,49.0,,,,5.762,6.046,,,,1.229,1.263,,,,1.191,1.223,,,,0.909,1.042,,,,0.423,0.406,,,,0.035,0.041
Czech Republic,Central and Eastern Europe,Central and Eastern Europe,,,,31.0,27.0,,,,6.505,6.596,,,,0.04168,,,,,1.17898,1.30915,,,,1.20643,1.00793,1.43388521671295,,,0.84483,0.76376,,,,0.46364,0.41418,0.490946173667908,,,0.02652,0.03986,,,,0.10686,0.09929,0.0881067588925362,0.064,0.046,2.67782,2.96211,,,,,6.515,,,,,6.677,,,,,,23.0,,,,,6.60900020599365,,,,,6.68386246263981,,,,,6.5341379493475,,,,,1.35268235206604,,,,,0.754444003105164,,,,,0.0368729270994663,,,,,2.45186185836792,,,,,,21.0,20.0,,,,6.711,6.852,,,,1.233,1.269,,,,1.489,1.487,,,,0.854,0.92,,,,0.543,0.457,,,,0.034,0.036
Dinamarca,Western Europe,Western Europe,,,,3.0,1.0,,,,7.527,7.526,,,,0.03328,,,,,1.32548,1.44178,,,,1.36058,1.16374,1.55112159252167,,,0.87464,0.79504,,,,0.64938,0.57941,0.626006722450256,,,0.48357,0.44453,,,,0.34139,0.36171,0.355280488729477,0.284,0.252,2.49204,2.73939,,,,,7.46,,,,,7.592,,,,,,2.0,,,,,7.52199983596802,,,,,7.58172806486487,,,,,7.46227160707116,,,,,1.48238301277161,,,,,0.792565524578094,,,,,0.40077006816864,,,,,2.31370735168457,,,,,,3.0,2.0,,,,7.555,7.6,,,,1.351,1.383,,,,1.59,1.573,,,,0.868,0.996,,,,0.683,0.592,,,,0.408,0.41
Djibouti,Sub-Saharan Africa,,,,,126.0,,,,,4.369,,,,,0.08096,,,,,0.44025,,,,,0.59207,,,,,0.36291,,,,,0.46074,,,,,0.28105,,,,,0.18093,,,,,2.05125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Latin America and Caribbean,Latin America and Caribbean,,,,98.0,89.0,,,,4.885,5.155,,,,0.07446,,,,,0.89537,1.02787,,,,1.17202,0.99496,1.40241670608521,,,0.66825,0.57669,,,,0.57672,0.52259,0.55258983373642,,,0.14234,0.12372,,,,0.21684,0.21286,0.186967849731445,0.12,0.113,1.21305,1.69626,,,,,5.037,,,,,5.273,,,,,,86.0,,,,,5.23000001907349,,,,,5.34906088516116,,,,,5.11093915298581,,,,,1.07937383651733,,,,,0.574873745441437,,,,,0.113945253193378,,,,,1.31946516036987,,,,,,83.0,77.0,,,,5.302,5.425,,,,0.982,1.015,,,,1.441,1.401,,,,0.614,0.779,,,,0.578,0.497,,,,0.106,0.101
Ecuador,Latin America and Caribbean,Latin America and Caribbean,,,,48.0,51.0,,,,5.975,5.976,,,,0.04528,,,,,0.86402,0.97306,,,,0.99903,0.85974,1.28616881370544,,,0.79075,0.68613,,,,0.48574,0.4027,0.4551981985569,,,0.1809,0.18037,,,,0.11541,0.10074,0.150112465023994,0.114,0.126,2.53942,2.77366,,,,,5.88,,,,,6.072,,,,,,44.0,,,,,6.00799989700317,,,,,6.10584767535329,,,,,5.91015211865306,,,,,1.00082039833069,,,,,0.685636222362518,,,,,0.140134647488594,,,,,2.29035258293152,,,,,,48.0,50.0,,,,5.973,6.028,,,,0.889,0.912,,,,1.33,1.312,,,,0.736,0.868,,,,0.556,0.498,,,,0.12,0.087
Egypt,Middle East and Northern Africa,Middle East and Northern Africa,,,,135.0,120.0,,,,4.194,4.362,,,,0.0326,,,,,0.8818,0.95395,,,,0.747,0.49813,0.997471392154694,,,0.61712,0.52116,,,,0.17288,0.18847,0.282110154628754,,,0.06324,0.10393,,,,0.11291,0.12706,0.128631442785263,0.092,0.076,1.59927,1.96895,,,,,4.259,,,,,4.465,,,,,,104.0,,,,,4.7350001335144,,,,,4.82513378962874,,,,,4.64486647740006,,,,,0.989701807498932,,,,,0.520187258720398,,,,,0.114381365478039,,,,,1.70216107368469,,,,,,122.0,137.0,,,,4.419,4.166,,,,0.885,0.913,,,,1.025,1.039,,,,0.553,0.644,,,,0.312,0.241,,,,0.107,0.067
El Salvador,Latin America and Caribbean,Latin America and Caribbean,,,,42.0,46.0,,,,6.13,6.068,,,,0.05618,,,,,0.76454,0.8737,,,,1.02507,0.80975,1.18212509155273,,,0.67737,0.596,,,,0.4035,0.37269,0.432452529668808,,,0.11776,0.10613,,,,0.10692,0.08877,0.0782579854130745,0.065,0.093,3.035,3.22134,,,,,5.967,,,,,6.169,,,,,,45.0,,,,,6.00299978256226,,,,,6.108635122329,,,,,5.89736444279552,,,,,0.909784495830536,,,,,0.596018552780151,,,,,0.0899809598922729,,,,,2.7145938873291,,,,,,40.0,35.0,,,,6.167,6.253,,,,0.806,0.794,,,,1.231,1.242,,,,0.639,0.789,,,,0.461,0.43,,,,0.082,0.074
Estados Unidos,North America,North America,,,,15.0,13.0,,,,7.119,7.104,,,,0.03839,,,,,1.39451,1.50796,,,,1.24711,1.04782,1.41992056369781,,,0.86179,0.779,,,,0.54604,0.48163,0.505740523338318,,,0.1589,0.14868,,,,0.40105,0.41077,0.392578780651093,0.291,0.28,2.51011,2.72782,,,,,7.02,,,,,7.188,,,,,,14.0,,,,,6.99300003051758,,,,,7.07465674757957,,,,,6.91134331345558,,,,,1.54625928401947,,,,,0.77428662776947,,,,,0.135638788342476,,,,,2.2181134223938,,,,,,18.0,19.0,,,,6.886,6.892,,,,1.398,1.433,,,,1.471,1.457,,,,0.819,0.874,,,,0.547,0.454,,,,0.133,0.128
Estonia,Central and Eastern Europe,Central and Eastern Europe,,,,73.0,72.0,,,,5.429,5.517,,,,0.04013,,,,,1.15174,1.27964,,,,1.22791,1.05163,1.47667109966278,,,0.77361,0.68098,,,,0.44888,0.41511,0.479131430387497,,,0.15184,0.18519,,,,0.0868,0.08423,0.0988908112049103,0.086,0.103,1.58782,1.81985,,,,,5.437,,,,,5.597,,,,,,66.0,,,,,5.61100006103516,,,,,5.68813987419009,,,,,5.53386024788022,,,,,1.32087934017181,,,,,0.695168316364288,,,,,0.183248922228813,,,,,1.35750865936279,,,,,,63.0,55.0,,,,5.739,5.893,,,,1.2,1.237,,,,1.532,1.528,,,,0.737,0.874,,,,0.553,0.495,,,,0.174,0.161
Ethiopia,Sub-Saharan Africa,Sub-Saharan Africa,,,,122.0,115.0,,,,4.512,4.508,,,,0.0378,,,,,0.19073,0.29283,,,,0.60406,0.37932,0.86466920375824,,,0.44055,0.34578,,,,0.4345,0.36703,0.408842742443085,,,0.15048,0.1717,,,,0.24325,0.29522,0.312650740146637,0.22,0.209,2.44876,2.65614,,,,,4.425,,,,,4.591,,,,,,119.0,,,,,4.46000003814697,,,,,4.54272867664695,,,,,4.377271399647,,,,,0.339233845472336,,,,,0.353409707546234,,,,,0.165455713868141,,,,,2.01574373245239,,,,,,127.0,134.0,,,,4.35,4.286,,,,0.308,0.336,,,,0.95,1.033,,,,0.391,0.532,,,,0.452,0.344,,,,0.146,0.1
Finlandia,Western Europe,Western Europe,,,,6.0,5.0,,,,7.406,7.413,,,,0.0314,,,,,1.29025,1.40598,,,,1.31826,1.13464,1.5402467250824,,,0.88911,0.81091,,,,0.64169,0.57104,0.617950856685638,,,0.41372,0.41004,,,,0.23351,0.25492,0.24548277258873,0.202,0.153,2.61955,2.82596,,,,,7.351,,,,,7.475,,,,,,5.0,,,,,7.4689998626709,,,,,7.52754207581282,,,,,7.41045764952898,,,,,1.44357192516327,,,,,0.80915766954422,,,,,0.38261154294014,,,,,2.4301815032959,,,,,,1.0,1.0,,,,7.632,7.769,,,,1.305,1.34,,,,1.592,1.587,,,,0.874,0.986,,,,0.681,0.596,,,,0.393,0.393
Francia,Western Europe,Western Europe,,,,29.0,32.0,,,,6.575,6.478,,,,0.03512,,,,,1.27778,1.39488,,,,1.26038,1.00508,1.38777685165405,,,0.94579,0.83795,,,,0.55011,0.46562,0.470222115516663,,,0.20646,0.17808,,,,0.12332,0.1216,0.129762306809425,0.098,0.111,2.21126,2.4744,,,,,6.397,,,,,6.559,,,,,,31.0,,,,,6.44199991226196,,,,,6.51576780244708,,,,,6.36823202207685,,,,,1.43092346191406,,,,,0.844465851783752,,,,,0.172502428293228,,,,,2.00595474243164,,,,,,23.0,24.0,,,,6.489,6.592,,,,1.293,1.324,,,,1.466,1.472,,,,0.908,1.045,,,,0.52,0.436,,,,0.176,0.183
Gabon,Sub-Saharan Africa,Sub-Saharan Africa,,,,143.0,134.0,,,,3.896,4.121,,,,0.04547,,,,,1.06024,1.15851,,,,0.90528,0.72368,1.1556202173233,,,0.43372,0.3494,,,,0.31914,0.28098,0.312328577041626,,,0.11091,0.09314,,,,0.06822,0.06244,0.0437853783369064,0.032,0.043,0.99895,1.45332,,,,,4.03,,,,,4.212,,,,,,118.0,,,,,4.46500015258789,,,,,4.5573617656529,,,,,4.37263853952289,,,,,1.1982102394104,,,,,0.356578588485718,,,,,0.0760467872023582,,,,,1.32291626930237,,,,,,103.0,104.0,,,,4.758,4.799,,,,1.036,1.057,,,,1.164,1.183,,,,0.404,0.571,,,,0.356,0.295,,,,0.052,0.055
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,4.516,,,,,0.308,,,,,0.939,,,,,0.428,,,,,0.382,,,,,0.167
Georgia,Central and Eastern Europe,Central and Eastern Europe,,,,130.0,126.0,,,,4.297,4.252,,,,0.04221,,,,,0.7419,0.83792,,,,0.38562,0.19249,0.57061493396759,,,0.72926,0.64035,,,,0.40577,0.32461,0.309410035610199,,,0.38331,0.3188,,,,0.05547,0.06786,0.0540088154375553,0.038,0.043,1.59541,1.87031,,,,,4.164,,,,,4.34,,,,,,125.0,,,,,4.28599977493286,,,,,4.37493396580219,,,,,4.19706558406353,,,,,0.950612664222717,,,,,0.649546980857849,,,,,0.251666635274887,,,,,1.50013780593872,,,,,,128.0,119.0,,,,4.34,4.519,,,,0.853,0.886,,,,0.592,0.666,,,,0.643,0.752,,,,0.375,0.346,,,,0.215,0.164
Ghana,Sub-Saharan Africa,Sub-Saharan Africa,,,,114.0,124.0,,,,4.633,4.276,,,,0.04742,,,,,0.54558,0.63107,,,,0.67954,0.49353,0.873664736747742,,,0.40132,0.29681,,,,0.42342,0.40973,0.423026293516159,,,0.04355,0.0326,,,,0.23087,0.21203,0.256923943758011,0.212,0.245,2.30919,2.2002,,,,,4.185,,,,,4.367,,,,,,131.0,,,,,4.11999988555908,,,,,4.22270720854402,,,,,4.01729256257415,,,,,0.667224824428558,,,,,0.295637726783752,,,,,0.0253363698720932,,,,,1.57786750793457,,,,,,108.0,98.0,,,,4.657,4.996,,,,0.592,0.611,,,,0.896,0.868,,,,0.337,0.486,,,,0.499,0.381,,,,0.029,0.04
Greece,Western Europe,Western Europe,,,,102.0,99.0,,,,4.857,5.033,,,,0.05062,,,,,1.15406,1.24886,,,,0.92933,0.75473,1.23941457271576,,,0.88213,0.80029,,,,0.07699,0.05822,0.0957312509417534,,,0.01397,0.04127,,,,0.0,0.0,0.0,0.0,0.0,1.80101,2.12944,,,,,4.935,,,,,5.131,,,,,,87.0,,,,,5.22700023651123,,,,,5.3252461694181,,,,,5.12875430360436,,,,,1.28948748111725,,,,,0.810198903083801,,,,,0.04328977689147,,,,,1.74922156333923,,,,,,79.0,82.0,,,,5.358,5.287,,,,1.154,1.181,,,,1.202,1.156,,,,0.879,0.999,,,,0.131,0.067,,,,0.044,0.034
Guatemala,Latin America and Caribbean,Latin America and Caribbean,,,,43.0,39.0,,,,6.123,6.324,,,,0.05224,,,,,0.74553,0.83454,,,,1.04356,0.87119,1.25558519363403,,,0.64425,0.54039,,,,0.57733,0.50379,0.531310617923737,,,0.09472,0.08701,,,,0.27489,0.28808,0.283488392829895,0.179,0.175,2.74255,3.19863,,,,,6.213,,,,,6.435,,,,,,29.0,,,,,6.4539999961853,,,,,6.56687397271395,,,,,6.34112601965666,,,,,0.872001945972443,,,,,0.540239989757538,,,,,0.0772232785820961,,,,,2.89389109611511,,,,,,30.0,27.0,,,,6.382,6.436,,,,0.781,0.8,,,,1.268,1.269,,,,0.608,0.746,,,,0.604,0.535,,,,0.071,0.078
Guinea,Sub-Saharan Africa,Sub-Saharan Africa,,,,150.0,151.0,,,,3.656,3.607,,,,0.0359,,,,,0.17417,0.22415,,,,0.46475,0.3109,0.791244685649872,,,0.24009,0.18829,,,,0.37725,0.30953,0.348587512969971,,,0.12139,0.1192,,,,0.28657,0.29914,0.264815092086792,0.185,0.207,1.99172,2.15604,,,,,3.533,,,,,3.681,,,,,,149.0,,,,,3.50699996948242,,,,,3.58442812889814,,,,,3.4295718100667,,,,,0.244549930095673,,,,,0.194129139184952,,,,,0.110937617719173,,,,,1.55231189727783,,,,,,140.0,118.0,,,,3.964,4.534,,,,0.344,0.38,,,,0.792,0.829,,,,0.211,0.375,,,,0.394,0.332,,,,0.094,0.086
Haiti,Latin America and Caribbean,Latin America and Caribbean,,,,119.0,136.0,,,,4.518,4.028,,,,0.07331,,,,,0.26673,0.34097,,,,0.74302,0.29561,0.640449821949005,,,0.38847,0.27494,,,,0.24425,0.12072,0.0303698573261499,,,0.17175,0.14476,,,,0.46187,0.47958,0.489203780889511,0.392,0.419,2.24173,2.37116,,,,,3.893,,,,,4.163,,,,,,145.0,,,,,3.6029999256134,,,,,3.73471479773521,,,,,3.47128505349159,,,,,0.368610262870789,,,,,0.277321130037308,,,,,0.0998721495270729,,,,,1.69716763496399,,,,,,148.0,147.0,,,,3.582,3.597,,,,0.315,0.323,,,,0.714,0.688,,,,0.289,0.449,,,,0.025,0.026,,,,0.104,0.11
Honduras,Latin America and Caribbean,Latin America and Caribbean,,,,105.0,104.0,,,,4.788,4.871,,,,0.05648,,,,,0.59532,0.69429,,,,0.95348,0.75596,1.14394497871399,,,0.6951,0.58383,,,,0.40148,0.26755,0.348079860210419,,,0.06825,0.06906,,,,0.23027,0.2044,0.236188873648643,0.197,0.246,1.84408,2.29551,,,,,4.75,,,,,4.992,,,,,,91.0,,,,,5.18100023269653,,,,,5.30158279687166,,,,,5.0604176685214,,,,,0.730573117733002,,,,,0.582569479942322,,,,,0.0733454525470734,,,,,2.06581115722656,,,,,,72.0,59.0,,,,5.504,5.86,,,,0.62,0.642,,,,1.205,1.236,,,,0.622,0.828,,,,0.459,0.507,,,,0.074,0.078
Hong Kong,Eastern Asia,Eastern Asia,,,,72.0,75.0,,,,5.474,5.458,,,,0.05051,,,,,1.38604,1.5107,,,,1.05818,0.87021,,,,1.01328,0.95277,,,,0.59608,0.48079,,,,0.37124,0.31647,,,,0.39478,0.40097,,0.246,0.258,0.65429,0.92614,,,,,5.362,,,,,5.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,76.0,,,,5.43,5.43,,,,1.405,1.438,,,,1.29,1.277,,,,1.03,1.122,,,,0.524,0.44,,,,0.291,0.287
"Hong Kong S.A.R., China",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26279091835022,,,,,,,,,,0.490968644618988,,,,,,,,,,0.374465793371201,,,,,,,,,,,,,,,,,,,,71.0,,,,,5.47200012207031,,,,,5.54959417313337,,,,,5.39440607100725,,,,,1.55167484283447,,,,,0.943062424659729,,,,,0.293933749198914,,,,,0.554633140563965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Central and Eastern Europe,Central and Eastern Europe,,,,104.0,91.0,,,,4.8,5.145,,,,0.06107,,,,,1.12094,1.24142,,,,1.20215,0.93164,1.34313309192657,,,0.75905,0.67608,,,,0.32112,0.1977,0.175863519310951,,,0.02758,0.04472,,,,0.128,0.099,0.0784016624093056,0.061,0.081,1.24074,1.95473,,,,,5.056,,,,,5.234,,,,,,75.0,,,,,5.32399988174438,,,,,5.40303970918059,,,,,5.24496005430818,,,,,1.2860119342804,,,,,0.687763452529907,,,,,0.0366369374096394,,,,,1.71645927429199,,,,,,69.0,62.0,,,,5.62,5.758,,,,1.171,1.201,,,,1.401,1.41,,,,0.732,0.828,,,,0.259,0.199,,,,0.022,0.02
