Country Name,Region,Continent,Crecimiento población urbana,"Inflación, deflactor del PIB (%) anual",Personas desempleadas educación intermedia,Medicos (cada 1.000 personas),Desempleo hombres,Desempleo mujeres,Empleados agricultura - hombres,Comercio servicios,Crecimiento PIB per capita,Contaminación aire,"Trabajadores asalariados (empleados), total",Indice facilidad para hacer negocios,Personas desempleadas educación basica,"Empleadores, total","Agricultura, silvicultura y pesca, valor agregado",Tierras cultivables,Personas desempleadas educación avanzada,PIB per capita US a precios actuales,Inversión extranjera directa,Empleados agricultura - mujeres,"Empleo vulnerable, total",Nuevas empresas registradas (numero),Empleos agricultura,"Desempleo, total",Pago de impuestos (numero),Cluster
Albania,Southern Europe,Europe,1.485,0.564,20.502,1.219,17.248,17.122,36.407,34.387,2.517,100.0,41.188,82.0,13.5,2.362,19.78,22.449,19.276,3952.804,8.691,47.636,56.451,2567.0,41.283,17.193,34.0,2
Alemania,Western Europe,Europe,0.879,1.685,4.231,4.12,4.962,4.205,1.775,17.272,0.777,95.953,89.291,22.0,11.166,4.863,0.709,33.956,2.263,41911.011,1.823,0.954,5.846,69384.0,1.394,4.612,9.0,0
Andorra,Southern Europe,Europe,-2.252,0.661,0.0,3.626,0.0,0.0,0.0,87.58,3.631,90.848,0.0,0.0,0.0,0.0,0.513,1.723,0.0,38654.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Argentina,South America,South America,1.185,26.58,9.129,3.973,6.798,8.706,0.875,5.421,1.661,98.022,75.653,126.0,10.511,3.594,5.157,14.745,3.268,13679.626,1.977,0.258,20.753,4958.0,0.626,8.347,9.0,0
Aruba,Caribbean,North America,1.179,6.831,0.0,0.0,0.0,0.0,0.0,101.123,-1.636,0.0,0.0,0.0,0.0,0.0,0.013,11.111,0.0,27458.225,-0.907,0.0,0.0,0.0,0.0,0.0,0.0,0
Austria,Western Europe,Europe,1.449,2.293,5.508,5.099,6.179,5.372,4.816,28.199,0.174,91.474,82.833,27.0,11.147,5.987,1.144,16.312,3.953,43915.228,-1.804,4.21,11.181,6301.0,4.531,5.802,12.0,0
Bahamas,Caribbean,North America,0.888,5.309,9.77,1.855,11.082,12.996,5.331,35.756,0.198,100.0,84.421,119.0,18.349,0.867,0.827,0.799,3.346,30289.402,0.652,1.287,14.711,0.0,3.412,12.0,19.0,0
Barbados,Caribbean,North America,-0.022,-0.611,10.628,2.55,10.632,8.969,4.196,40.301,-1.074,100.0,83.716,128.0,11.147,0.731,1.802,18.605,5.232,18954.291,13.02,1.6,15.552,1105.0,2.89,9.803,28.0,0
Belarús,Eastern Europe,Europe,0.767,16.023,6.943,5.051,7.486,4.255,13.411,19.67,-3.957,100.0,96.025,49.0,13.393,0.565,6.283,27.971,2.994,5967.069,2.927,7.081,3.41,6095.0,10.212,1.0,7.0,0
Belice,Central America,North America,2.258,-0.305,9.765,1.126,5.446,11.093,25.81,32.698,0.737,100.0,67.525,135.0,7.756,6.278,9.614,3.858,5.347,6154.496,2.696,4.532,26.197,675.0,18.082,7.578,29.0,1
Bolivia,South America,South America,2.024,-4.621,4.593,1.558,2.619,3.788,28.841,12.359,3.279,100.0,38.9,150.0,2.917,4.517,10.239,4.593,3.77,2996.013,1.681,30.842,56.583,3593.0,29.677,3.111,42.0,1
Bosnia y Herzegovina,Southern Europe,Europe,-0.599,1.366,29.199,2.103,25.66,30.549,18.462,13.735,5.687,100.0,75.778,90.0,28.928,4.012,6.038,19.961,20.455,4662.259,2.335,16.995,20.211,2323.0,17.876,27.695,45.0,2
Brasil,South America,South America,1.116,7.566,7.408,2.158,7.233,10.313,12.699,6.271,-4.306,74.928,69.471,124.0,8.827,4.272,4.319,6.523,5.079,8936.197,3.592,4.597,26.257,349971.0,9.332,8.538,9.61,1
Bulgaria,Eastern Europe,Europe,-0.179,2.948,8.384,3.968,9.777,8.417,9.092,25.207,4.059,99.966,87.711,61.0,23.714,4.359,4.062,32.33,3.922,7078.86,4.372,4.331,7.93,42634.0,6.856,9.143,14.0,0
Bélgica,Western Europe,Europe,0.623,1.122,8.699,3.025,9.093,7.768,1.565,46.259,0.888,95.104,84.821,46.0,15.995,3.552,0.751,27.346,4.592,40893.805,-4.233,0.729,11.627,22148.0,1.177,8.482,11.0,0
Canadá,Northern America,North America,0.811,-0.868,8.246,2.539,7.51,6.305,2.19,12.206,-0.112,0.726,85.001,23.0,14.13,4.525,1.87,4.27,5.321,43594.194,3.854,1.034,10.474,3052.0,1.644,6.945,8.0,0
Chile,South America,South America,1.087,4.954,7.12,2.159,5.828,7.014,10.869,9.357,1.114,98.576,75.317,59.0,6.244,4.137,3.709,2.008,4.839,13433.92,7.328,4.319,20.546,64781.0,8.21,6.313,7.0,0
Colombia,South America,South America,1.303,2.449,10.1,2.015,6.719,11.119,22.994,7.63,2.069,96.338,48.603,67.0,6.62,4.125,5.98,1.406,10.61,6248.515,3.959,6.694,47.272,60456.0,16.32,8.572,11.0,1
Costa Rica,Central America,North America,2.268,3.955,10.672,1.778,7.1,10.338,19.012,19.097,2.557,99.98,70.571,74.0,8.969,2.896,4.749,4.529,5.848,11714.711,5.236,7.377,26.533,13154.0,14.387,8.415,10.0,1
Croacia,Southern Europe,Europe,-0.78,0.124,18.042,3.156,15.547,16.899,10.766,30.043,3.552,100.0,82.787,51.0,21.353,5.358,2.963,15.076,9.24,12285.303,0.958,7.428,11.855,12558.0,9.228,16.175,12.0,2
Cuba,Caribbean,North America,-0.049,3.439,0.0,7.759,2.281,2.579,25.629,0.0,4.538,100.0,75.576,0.0,0.0,4.743,3.836,28.95,0.0,7727.92,0.0,8.176,19.68,0.0,18.667,2.4,0.0,1
Curacao,Caribbean,North America,1.217,-0.476,14.34,0.0,0.0,0.0,0.0,81.025,-0.859,0.0,0.0,0.0,20.88,0.0,0.206,0.0,11.68,19361.813,4.787,0.0,0.0,0.0,0.0,11.71,0.0,0
Dinamarca,Northern Europe,Europe,0.839,0.409,5.38,3.934,6.057,6.529,3.8,41.14,1.386,75.187,91.133,4.0,10.42,2.847,0.908,58.791,4.617,53094.013,0.611,1.0,6.02,30378.0,2.492,6.278,10.0,0
Dominica,Caribbean,North America,0.485,6.82,0.0,1.136,0.0,0.0,0.0,65.94,-2.783,100.0,0.0,111.0,0.0,0.0,14.056,8.0,0.0,7679.833,1.324,0.0,0.0,134.0,0.0,0.0,37.0,0
Ecuador,South America,South America,1.647,-5.476,5.867,1.814,3.018,4.516,28.535,5.761,-1.303,99.389,55.084,129.0,2.455,3.246,8.02,4.3,4.806,5976.16,1.361,22.609,41.669,0.0,26.192,3.616,8.0,1
El Salvador,Central America,North America,1.528,1.308,5.813,1.566,4.371,3.47,28.289,17.044,2.057,100.0,59.578,91.0,3.887,4.422,5.53,33.634,4.411,3790.341,2.11,3.859,36.001,2158.0,18.111,3.998,41.0,1
Eslovenia,Southern Europe,Europe,0.493,0.867,9.905,2.802,8.048,10.033,6.86,26.639,2.316,99.794,83.083,37.0,13.672,3.697,1.974,9.147,5.767,20697.275,4.051,7.056,13.22,5478.0,6.949,8.962,10.0,0
España,Southern Europe,Europe,0.219,0.552,21.471,3.847,20.782,23.557,5.784,15.157,4.142,55.153,82.597,31.0,30.685,5.283,2.723,24.573,13.374,25969.838,1.971,2.1,12.121,91750.0,4.124,22.057,9.0,2
Estados Unidos,Northern America,North America,0.967,0.928,7.087,2.57,5.366,5.175,2.459,6.929,2.19,8.465,93.556,6.0,7.76,2.718,1.029,17.104,3.032,57040.208,2.795,0.957,3.727,0.0,1.781,5.28,10.6,0
Estonia,Northern Europe,Europe,0.281,1.306,6.927,3.417,6.496,6.324,5.434,42.253,1.771,0.0,90.458,18.0,12.286,3.672,2.806,15.528,3.969,17722.156,-3.069,2.559,5.87,15005.0,4.032,6.412,8.0,0
Federación de Rusia,Eastern Europe,Europe,0.414,7.25,5.129,3.942,5.862,5.352,8.218,10.296,-2.276,91.827,92.74,29.0,13.911,1.292,3.873,7.428,5.387,9277.714,0.503,5.112,5.968,456046.0,6.71,5.615,9.0,0
Finlandia,Northern Europe,Europe,0.388,1.633,10.156,3.413,9.874,8.842,6.135,22.422,0.136,0.0,85.72,20.0,16.447,3.736,2.06,7.378,6.395,42560.346,7.538,2.196,10.545,12625.0,4.224,9.376,8.0,0
Francia,Western Europe,Europe,0.684,1.134,10.799,3.239,10.792,9.877,3.757,20.047,0.708,90.412,88.41,33.0,17.489,4.273,1.504,33.748,6.3,36702.432,1.766,1.654,7.317,171984.0,2.745,10.354,9.0,0
Granada,Caribbean,North America,0.639,2.758,13.718,1.29,0.0,0.0,0.0,65.077,5.94,100.0,0.0,146.0,15.086,0.0,7.429,8.824,11.234,8694.124,15.473,0.0,0.0,228.0,0.0,22.9,42.0,0
Grecia,Southern Europe,Europe,-0.217,-0.175,27.639,5.91,21.715,28.992,13.07,26.639,0.431,100.0,65.044,79.0,26.59,6.879,3.822,16.843,19.734,17980.73,0.652,11.73,28.078,4746.0,12.501,24.981,8.0,2
Guatemala,Central America,North America,2.509,2.232,6.382,0.286,2.005,3.556,42.306,10.299,2.202,100.0,60.322,96.0,2.905,2.747,9.967,13.718,1.252,3893.505,1.935,9.67,36.932,4936.0,31.876,2.506,8.0,1
Guyana,South America,South America,0.704,3.004,16.171,1.804,11.426,15.482,24.975,13.275,0.083,100.0,64.288,134.0,13.82,5.866,25.443,2.134,4.946,5640.416,3.217,8.997,29.846,227.0,18.935,13.627,35.0,1
Haití,Caribbean,North America,3.329,5.206,0.0,0.086,11.048,16.677,57.079,11.886,-0.045,100.0,24.971,179.0,0.0,0.727,17.22,42.816,0.0,1411.127,0.712,34.959,74.301,0.0,46.923,0.0,47.0,1
Honduras,Central America,North America,3.091,6.933,12.403,0.586,4.527,8.989,40.313,21.952,1.882,99.999,48.579,133.0,5.53,9.666,12.216,9.098,8.947,2271.203,6.276,7.395,41.755,2478.0,28.722,6.147,59.0,1
Hungría,Eastern Europe,Europe,0.15,2.776,6.401,3.097,6.617,7.034,6.852,31.565,3.954,100.0,88.992,52.0,17.306,3.463,3.79,47.381,2.417,12717.039,-4.37,2.69,7.546,21256.0,4.9,6.813,11.0,0
Irlanda,Northern Europe,Europe,1.262,8.908,12.401,3.143,10.734,8.908,8.451,117.976,23.444,2.718,83.535,24.0,16.807,4.031,0.868,6.576,5.637,64311.823,74.745,1.605,12.434,19207.0,5.321,9.908,9.0,0
Islandia,Northern Europe,Europe,1.077,6.055,3.354,3.772,3.914,4.051,6.498,40.978,3.354,11.985,86.202,26.0,6.147,1.557,5.291,1.207,2.733,52951.682,6.541,1.734,12.241,2385.0,4.239,3.979,21.0,0
Italia,Southern Europe,Europe,0.326,0.783,11.388,3.87,11.316,12.695,4.691,10.871,0.983,96.755,75.834,58.0,15.437,6.904,1.992,22.322,7.098,30387.129,0.721,2.438,17.262,99983.0,3.751,11.896,14.0,0
Jamaica,Caribbean,North America,0.769,6.655,11.992,0.429,6.64,11.452,25.368,36.786,0.605,100.0,59.932,71.0,5.122,3.1,6.308,11.08,6.461,5062.896,6.519,8.079,36.967,1806.0,17.745,13.511,37.0,1
Kosovo,Southern Europe,Europe,0.0,0.608,33.667,0.0,0.0,0.0,0.0,25.497,7.368,0.0,0.0,57.0,46.53,0.0,7.677,0.0,18.849,3520.629,5.454,0.0,0.0,2539.0,0.0,32.84,32.0,2
Letonia,Northern Europe,Europe,-0.777,0.387,10.838,3.175,11.088,8.636,10.865,28.556,4.636,92.273,86.06,19.0,21.931,4.585,3.554,19.763,4.945,13321.975,3.085,5.042,9.355,12619.0,7.939,9.873,7.0,0
Liechtenstein,Western Europe,Europe,0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,11.312,0.0,167187.157,1282.607,0.0,0.0,29.0,0.0,0.0,34.0,0
Lituania,Northern Europe,Europe,-0.759,-0.002,11.67,4.253,10.097,8.161,11.605,27.501,3.805,99.531,87.729,11.0,26.062,1.209,3.437,34.667,3.676,14300.255,2.496,6.631,11.062,6184.0,9.069,9.12,11.0,0
Luxemburgo,Western Europe,Europe,2.688,2.219,6.286,2.908,6.464,7.195,1.291,270.761,-0.115,79.979,88.787,72.0,10.491,3.987,0.224,24.393,4.754,105462.013,53.136,0.747,7.226,6642.0,1.045,6.796,23.0,0
Macedonia del Norte,Southern Europe,Europe,-0.051,2.003,26.915,2.834,27.105,25.345,18.046,26.53,4.134,100.0,73.936,17.0,30.36,4.317,9.727,16.416,21.161,5262.687,2.947,17.492,21.746,5784.0,17.82,26.395,7.0,2
Malta,Southern Europe,Europe,2.457,4.2,3.814,3.583,5.389,5.39,2.158,209.439,7.036,100.0,84.61,88.0,8.825,4.409,0.941,28.031,1.976,25481.898,32.103,0.373,10.98,5372.0,1.467,5.389,7.0,0
Montenegro,Southern Europe,Europe,0.567,2.22,19.257,2.35,17.765,17.312,7.331,44.842,3.332,100.0,79.118,50.0,27.195,3.692,8.061,0.647,10.288,6517.193,17.26,8.169,17.19,3013.0,7.72,17.555,29.0,2
México,Central America,North America,1.439,3.225,5.346,2.358,4.223,4.456,19.776,6.334,1.61,99.715,68.033,60.0,4.207,4.35,3.085,11.342,4.929,10021.239,2.988,4.319,27.617,46174.0,13.953,4.311,6.0,1
Mónaco,Western Europe,Europe,1.726,1.133,6.46,8.568,0.0,0.0,0.0,0.0,3.115,0.0,0.0,0.0,8.13,0.0,0.0,0.0,6.17,170437.101,0.0,0.0,0.0,0.0,0.0,6.33,0.0,0
Nicaragua,Central America,North America,1.695,7.589,0.0,0.92,4.236,5.446,44.423,17.854,3.378,99.93,54.498,142.0,0.0,5.483,16.11,12.49,0.0,2074.454,7.58,9.663,40.019,0.0,31.203,4.7,43.0,1
Noruega,Northern Europe,Europe,1.488,-2.804,3.843,4.451,4.563,4.001,2.995,22.907,0.849,2.025,92.874,9.0,9.175,0.845,1.482,2.21,2.58,74809.966,1.874,0.928,6.281,26709.0,2.01,4.296,4.0,0
Panamá,Central America,North America,2.219,3.015,6.07,1.581,3.691,5.324,19.034,29.926,3.461,87.289,66.271,86.0,4.486,3.069,2.95,7.623,2.374,14082.655,9.18,7.871,30.66,26608.0,14.673,4.402,52.0,1
Paraguay,South America,South America,1.916,1.604,6.127,1.462,4.293,4.944,25.802,9.845,1.465,100.0,56.231,125.0,5.2,4.983,9.44,10.305,2.444,5879.338,1.775,16.61,38.785,653.0,22.106,4.556,19.0,1
Países Bajos,Western Europe,Europe,0.98,0.888,7.207,3.471,6.524,7.273,3.012,49.863,1.669,99.812,83.838,42.0,10.731,3.168,1.806,30.947,3.92,45793.814,48.501,1.517,12.994,31509.0,2.32,6.872,9.0,0
Perú,South America,South America,1.367,2.691,4.284,1.296,3.211,3.346,28.468,7.403,2.094,99.973,48.047,76.0,2.457,3.986,7.046,2.973,4.185,6231.712,3.866,25.153,47.966,79606.0,26.979,3.272,8.0,1
Polonia,Eastern Europe,Europe,-0.274,1.321,7.394,2.294,7.336,7.645,12.49,15.893,4.501,99.996,78.768,40.0,10.412,3.645,2.484,35.556,3.933,12637.522,3.295,10.36,17.587,40805.0,11.534,7.475,7.0,0
Portugal,Southern Europe,Europe,0.5,1.962,13.941,4.75,12.161,12.748,9.527,20.932,2.011,27.458,81.598,39.0,13.22,5.638,1.975,11.68,9.242,19215.781,0.638,5.378,12.764,34120.0,7.511,12.447,8.0,0
Reino Unido,Northern Europe,Europe,1.109,0.658,5.709,2.773,5.669,5.344,1.568,21.355,1.416,71.963,85.017,8.0,8.399,2.439,0.631,24.846,2.906,44964.391,1.548,0.649,12.544,611478.0,1.136,5.552,8.0,0
República Checa,Eastern Europe,Europe,0.323,1.235,4.702,3.952,4.233,6.08,3.925,22.756,4.753,99.828,82.661,41.0,22.692,3.524,2.259,32.25,2.381,17931.599,0.899,1.635,13.815,26068.0,2.925,5.048,8.0,0
República Dominicana,Caribbean,North America,2.297,2.472,11.513,1.429,5.475,10.894,14.745,15.058,5.705,99.979,55.602,115.0,7.159,3.221,5.485,18.154,6.12,6819.932,3.13,1.476,41.177,8367.0,9.715,7.605,7.0,1
República Eslovaca,0,Europe,-0.111,-0.186,10.961,3.451,10.337,12.902,4.571,18.054,5.077,100.0,84.843,45.0,38.676,3.118,2.046,28.077,6.041,16442.076,1.705,1.248,12.039,12445.0,3.098,11.492,11.0,0
República de Moldova,Eastern Europe,Europe,-0.781,11.574,1.571,3.085,2.236,1.318,59.948,23.477,0.429,100.0,39.142,48.0,1.154,0.347,12.821,52.707,3.549,2749.551,2.897,59.231,60.51,4762.0,59.561,1.781,21.0,1
Rumania,Eastern Europe,Europe,-0.494,3.265,7.223,2.753,7.543,5.857,25.564,17.168,3.643,99.379,71.025,55.0,7.915,1.125,4.426,38.152,4.112,8977.017,2.427,25.613,27.85,64417.0,25.586,6.812,14.0,1
Saint Kitts y Nevis,Caribbean,North America,-0.186,-0.156,0.0,2.866,0.0,0.0,0.0,74.513,0.698,0.0,0.0,139.0,0.0,0.0,0.849,19.231,0.0,20328.8,13.401,0.0,0.0,210.0,0.0,0.0,39.0,0
San Marino,Southern Europe,Europe,0.925,-0.743,8.33,0.0,0.0,0.0,0.0,86.243,1.539,0.0,0.0,92.0,4.46,0.0,0.02,33.083,8.21,43146.824,0.0,0.0,0.0,0.0,0.0,7.38,18.0,0
San Vicente y las Granadinas,Caribbean,North America,0.263,-0.732,0.0,0.0,20.604,16.949,15.87,45.699,3.336,100.0,73.989,130.0,0.0,5.718,6.26,5.128,0.0,7353.736,15.75,4.527,20.293,119.0,11.205,0.0,36.0,1
Santa Lucía,Caribbean,North America,0.62,3.237,21.859,0.655,19.202,22.78,15.686,66.834,-0.338,100.0,71.96,93.0,27.797,6.031,2.155,4.377,14.56,10334.923,8.422,5.173,22.009,367.0,10.939,19.136,35.0,2
Serbia,Southern Europe,Europe,-0.309,2.169,19.419,2.904,16.789,18.739,21.788,20.992,1.815,100.0,69.841,44.0,15.113,3.774,5.606,29.625,15.322,5820.322,5.674,16.391,26.385,7904.0,19.409,17.66,42.0,2
Suecia,Northern Europe,Europe,1.412,2.253,6.223,4.153,7.561,7.291,2.961,28.162,3.312,3.555,89.741,10.0,18.863,3.305,1.303,6.322,4.264,51197.953,1.949,1.023,6.955,45568.0,2.036,7.432,6.0,0
Suiza,Western Europe,Europe,1.168,-1.265,4.37,4.197,4.704,4.912,3.91,35.525,0.494,72.311,85.025,36.0,8.697,4.706,0.626,10.083,3.68,83806.448,17.108,2.785,10.269,24244.0,3.387,4.801,19.0,0
Suriname,South America,South America,1.031,4.855,5.377,1.017,4.396,11.493,8.489,17.282,-4.452,100.0,77.499,162.0,9.141,3.578,10.408,0.405,3.606,8813.617,3.583,5.213,18.922,412.0,7.246,7.22,30.0,1
Trinidad y Tobago,Caribbean,North America,0.145,-8.734,2.492,2.487,2.057,2.939,4.896,14.948,-1.095,100.0,77.769,105.0,2.813,5.471,1.658,4.873,1.806,20024.755,0.654,1.382,16.76,5165.0,3.426,2.428,39.0,0
Ucrania,Eastern Europe,Europe,-0.274,38.882,10.05,0.0,10.124,8.099,17.231,26.135,-9.277,100.0,80.978,64.0,12.23,1.312,12.059,56.578,8.24,2094.474,-0.218,13.214,17.71,38088.0,15.257,9.14,5.0,0
Uruguay,South America,South America,0.453,9.855,5.42,3.968,6.36,8.849,12.333,16.442,0.023,26.444,72.676,101.0,8.89,4.175,6.131,13.876,2.206,17125.902,4.634,4.473,23.149,3326.0,8.824,7.488,31.0,0
Venezuela,South America,South America,1.063,0.0,5.595,1.664,5.85,6.569,9.67,0.0,0.0,99.995,65.045,188.0,4.673,3.509,0.0,2.948,5.744,0.0,0.0,1.262,31.446,0.0,6.334,5.319,70.0,1
